facility_id,Quality,Features_affecting
1,Poor,"['facility_type_garage', 'covered_parking', 'inout_allowed', 'iq_facility', 'facility_type_lot', 'on_site_staff']"
2,Poor,"['facility_type_garage', 'covered_parking', 'inout_allowed', 'facility_type_lot', 'on_site_staff']"
3,Poor,"['facility_type_garage', 'covered_parking', 'inout_allowed', 'iq_facility', 'on_site_staff']"
4,Poor,['iq_facility']
5,Poor,"['facility_type_garage', 'covered_parking', 'inout_allowed', 'iq_facility', 'facility_type_lot', 'on_site_staff']"
6,Poor,['accessible']
7,Poor,"['has_monthly_rates', 'has_event_rates']"
8,Poor,"['facility_type_garage', 'covered_parking', 'facility_type_lot']"
9,Poor,"['facility_type_garage', 'covered_parking', 'facility_type_lot', 'on_site_staff']"
10,Poor,"['iq_facility', 'on_site_staff']"
11,Poor,['iq_facility']
12,Poor,['on_site_staff']
13,Poor,"['facility_type_garage', 'covered_parking', 'facility_type_lot']"
14,Poor,['accessible']
15,Average,['iq_facility']
16,Poor,['on_site_staff']
17,Poor,['iq_facility']
18,Poor,"['facility_type_garage', 'covered_parking', 'iq_facility', 'facility_type_lot', 'on_site_staff']"
19,Poor,"['facility_type_garage', 'covered_parking', 'inout_allowed', 'iq_facility', 'on_site_staff']"
20,Poor,['accessible']
21,Best,No Need
22,Poor,"['iq_facility', 'on_site_staff']"
23,Poor,['iq_facility']
24,Poor,['accessible']
25,Poor,[]
26,Poor,"['facility_type_garage', 'covered_parking', 'inout_allowed', 'facility_type_lot', 'on_site_staff']"
27,Poor,"['facility_type_garage', 'covered_parking', 'inout_allowed', 'facility_type_lot', 'on_site_staff']"
28,Poor,"['iq_facility', 'accessible']"
29,Poor,"['facility_type_garage', 'covered_parking', 'inout_allowed', 'facility_type_lot', 'on_site_staff']"
30,Poor,['iq_facility']
31,Poor,"['iq_facility', 'on_site_staff']"
32,Poor,['on_site_staff']
33,Poor,['accessible']
34,Poor,"['facility_type_garage', 'covered_parking', 'inout_allowed', 'iq_facility', 'facility_type_lot', 'on_site_staff']"
35,Poor,['iq_facility']
36,Poor,"['iq_facility', 'accessible']"
37,Poor,['iq_facility']
38,Poor,"['facility_type_garage', 'covered_parking', 'inout_allowed', 'facility_type_lot', 'on_site_staff']"
39,Poor,"['facility_type_garage', 'covered_parking', 'iq_facility', 'facility_type_lot']"
40,Poor,"['facility_type_garage', 'covered_parking', 'inout_allowed', 'facility_type_lot', 'on_site_staff']"
41,Poor,['has_event_rates']
42,Poor,['on_site_staff']
43,Poor,"['facility_type_garage', 'covered_parking', 'inout_allowed', 'iq_facility', 'facility_type_lot']"
44,Poor,['iq_facility']
45,Best,No Need
46,Poor,"['iq_facility', 'accessible']"
47,Poor,"['facility_type_garage', 'covered_parking', 'inout_allowed', 'iq_facility', 'on_site_staff']"
48,Poor,"['iq_facility', 'accessible']"
49,Poor,"['facility_type_garage', 'covered_parking', 'iq_facility', 'facility_type_lot', 'on_site_staff']"
50,Poor,"['iq_facility', 'on_site_staff']"
51,Poor,['accessible']
52,Poor,"['facility_type_garage', 'covered_parking', 'inout_allowed', 'facility_type_lot', 'on_site_staff']"
53,Poor,['accessible']
54,Poor,"['facility_type_garage', 'covered_parking', 'facility_type_lot', 'on_site_staff']"
55,Poor,"['facility_type_garage', 'covered_parking', 'inout_allowed', 'iq_facility', 'facility_type_lot', 'on_site_staff']"
56,Poor,"['facility_type_garage', 'inout_allowed', 'iq_facility', 'facility_type_lot', 'on_site_staff']"
57,Poor,"['iq_facility', 'on_site_staff']"
58,Poor,"['facility_type_garage', 'covered_parking', 'inout_allowed', 'iq_facility', 'on_site_staff']"
59,Poor,['accessible']
60,Poor,"['covered_parking', 'has_event_rates', 'on_site_staff', 'facility_type_garage', 'facility_type_lot']"
61,Poor,"['facility_type_garage', 'covered_parking', 'inout_allowed', 'facility_type_lot', 'on_site_staff']"
62,Poor,"['facility_type_garage', 'covered_parking', 'inout_allowed', 'iq_facility', 'on_site_staff']"
63,Poor,"['facility_type_garage', 'covered_parking', 'inout_allowed', 'facility_type_lot', 'on_site_staff']"
64,Poor,"['facility_type_garage', 'covered_parking', 'inout_allowed', 'facility_type_lot', 'on_site_staff']"
65,Poor,"['facility_type_garage', 'covered_parking', 'inout_allowed', 'iq_facility', 'facility_type_lot', 'on_site_staff']"
