facility_id,reporting_neighborhood,height_restriction,ext_allowed,parking_type,accessible,ev_charging,heated,rooftop_exposed,has_monthly_rates,has_transient_rates,p4w_total_gross_revenue,p4w_new_drivers,num_words_parking_instruction,p4w_sipp,user_issues_per_park,tipp,product_cpp,total_cpp,p4w_lot_full,num_stalls,rental_count,p4w_return_pct,scan_to_pay_flag,iq_facility,customer_reviews_count,covered_parking,inout_allowed,utilization,has_event_rates,searches,on_site_staff,facility_type_under_el,facility_type_garage,facility_type_valet_stand,facility_type_lot,facility_type_personal_spot,refund_pct,average_star_rating
1,45,180.0,1,0,1,0,0,0,0,1,90.0,5.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.16699999999999998,0,0,4.0,0,1,0.0225,1,1002.0,0,0,0,0,1,0,0.1429,4
2,19,180.0,1,0,0,0,0,0,0,1,263.5,13.0,74.0,0.0,0.0,0.0,0.0,1000.0000000000001,0.0,1.0,2.0,0.133,0,1,14.0,0,1,0.2022,0,1675.0,0,0,0,0,1,0,0.0625,3
3,53,180.0,1,0,1,0,0,0,0,1,0.0,0.0,56.0,0.0,0.0,0.0,0.0,1000.0000000000001,0.0,1.0,2.0,0.0,0,0,13.0,0,1,0.0421,1,18988.0,0,0,0,0,0,1,0.0,3
4,40,90.0,1,0,1,1,0,0,0,1,5421.0,87.0,63.0,3.263,500.0,71.0,143.0,1214.0,1.0,40.0,11814.0,0.569,0,0,4320.0,1,0,0.4069,1,4056.0000000000005,1,0,1,0,0,0,0.0151,4
5,28,74.0,1,0,1,0,0,0,1,1,4338.0,91.00000000000001,35.0,34.591,167.0,0.0,167.0,1000.0000000000001,2.0,20.0,6324.0,0.431,0,0,1775.0,0,1,0.2931,0,20114.0,0,0,0,0,1,0,0.0557,4
6,25,80.0,1,1,1,0,0,0,0,1,15555.750000000002,266.0,42.0,0.0,600.0,0.0,100.0,1000.0000000000001,0.0,45.0,21656.0,0.48,0,1,22201.0,1,0,0.2313,0,118113.0,1,0,1,0,0,0,0.0121,4
7,49,84.0,1,0,0,0,0,0,1,1,114523.0,603.0,49.0,0.46,730.0,36.0,219.0,1197.0,0.0,500.0,148368.0,0.757,0,1,65932.0,1,0,0.2096,1,74411.0,1,0,1,0,0,0,0.0055000000000000005,4
8,49,180.0,1,0,1,0,0,0,1,1,20658.0,330.0,38.0,1.242,333.0,67.0,200.0,1667.0,0.0,80.0,17604.0,0.516,0,1,5227.0,0,0,0.1979,1,44457.0,1,0,0,0,1,0,0.0083,4
9,49,180.0,1,2,1,0,0,0,0,1,5130.0,71.0,34.0,3.333,188.0,63.0,250.0,1063.0,0.0,40.0,11413.0,0.517,0,1,3433.0,0,0,0.1777,1,47578.0,0,0,0,0,1,0,0.0029,4
10,36,78.0,1,0,1,0,0,0,1,1,7878.999999999999,104.0,48.0,18.391,313.0,0.0,188.0,1063.0,0.0,90.0,20159.0,0.606,0,0,12362.0,1,0,0.1093,0,25980.000000000004,0,0,1,0,0,0,0.021,4
11,25,86.0,1,0,0,0,0,0,1,1,59217.0,570.0,58.0,1.356,340.0,0.0,170.0,1094.0,0.0,220.0,75992.0,0.601,0,0,19547.0,1,0,0.23020000000000002,0,127161.00000000001,1,0,1,0,0,0,0.0098,4
12,49,77.0,1,0,1,0,0,0,0,1,33862.75,461.0,46.0,2.9,217.0,391.0,478.0,1130.0,0.0,120.0,39426.0,0.603,0,1,16988.0,1,0,0.2058,0,34834.0,0,0,1,0,0,0,0.0075,4
13,49,180.0,1,0,1,0,0,0,1,1,4503.0,58.0,82.0,0.0,91.0,0.0,409.0,1318.0,0.0,35.0,8022.0,0.557,0,1,5284.0,0,0,0.1843,1,51165.99999999999,1,0,0,0,1,0,0.0128,4
14,25,180.0,1,0,1,0,0,0,1,1,7231.5,206.0,54.0,1.264,318.0,273.0,409.0,1091.0,0.0,10.0,15444.0,0.316,0,1,6322.0,1,0,0.2997,1,96482.0,0,0,1,0,0,0,0.0088,4
15,22,80.0,1,1,1,0,0,0,0,1,6910.0,76.0,168.0,5.525,444.0,0.0,111.0,1111.0,1.0,15.0,6561.0,0.483,0,0,6447.0,1,0,0.3085,0,231874.0,1,0,1,0,0,0,0.0248,4
16,46,79.0,1,0,1,0,0,0,0,1,17052.5,759.0,44.0,3.786,292.0,292.0,308.0,1138.0,1.0,85.0,27988.0,0.358,0,1,4511.0,1,0,0.3566,0,11698.0,0,0,1,0,0,0,0.024300000000000002,4
17,49,72.0,1,0,1,0,0,0,0,1,0.0,0.0,85.0,0.0,226.0,0.0,38.0,1094.0,0.0,1.0,6332.0,0.0,0,0,4923.0,1,0,0.206,0,38985.0,1,0,1,0,0,0,0.0,4
18,36,180.0,1,0,1,0,0,0,1,1,12106.0,197.99999999999997,39.0,4.215,462.0,77.0,385.0,1000.0000000000001,0.0,85.0,8363.0,0.527,0,0,1393.0,0,0,0.1695,0,21902.0,0,0,0,0,1,0,0.004699999999999999,4
19,28,180.0,1,0,0,0,0,0,0,1,2127.0,84.0,53.0,47.847,250.0,0.0,0.0,1000.0000000000001,4.0,6.0,3043.0,0.32299999999999995,0,0,1873.0,0,1,0.5213,0,19654.0,0,1,0,0,0,0,0.1543,4
20,49,180.0,1,0,1,0,0,0,1,1,12276.75,282.0,48.0,18.315,231.0,77.0,0.0,1154.0,5.0,25.0,12540.0,0.405,0,1,3265.0,0,0,0.3448,0,65031.0,0,0,0,0,1,0,0.0452,4
21,23,78.0,1,1,0,0,0,0,0,1,1693.0,33.0,156.0,0.0,700.0,0.0,300.0,1100.0,0.0,10.0,1835.0,0.431,0,1,2538.0,1,0,0.1261,0,325867.0,1,0,1,0,0,0,0.1159,4
22,32,180.0,1,0,1,0,0,0,0,1,2192.0,81.0,33.0,4.167,0.0,0.0,0.0,0.0,0.0,75.0,3487.0,0.341,0,0,0.0,1,0,0.0282,0,898.0000000000001,0,0,1,0,0,0,0.0067,4
23,36,180.0,1,0,1,0,0,0,0,1,6100.0,162.0,38.0,3.945,0.0,0.0,0.0,0.0,0.0,20.0,2625.0,0.39299999999999996,0,0,563.0,1,0,0.3793,0,41747.0,1,0,1,0,0,0,0.038,4
24,23,84.0,1,0,1,0,0,1,0,1,57224.5,1111.0,74.0,1.0,325.0,13.0,442.0,1117.0,0.0,250.0,72333.0,0.49,0,1,39401.0,1,0,0.1114,1,96681.0,0,0,1,0,0,0,0.012,4
25,23,75.0,1,0,0,0,0,0,0,1,18143.25,191.0,184.0,4.448,625.0,50.0,175.0,1125.0,0.0,55.0,18702.0,0.579,0,1,20696.0,1,0,0.1923,0,124735.99999999999,1,0,1,0,0,0,0.055099999999999996,4
26,28,180.0,1,0,0,0,0,0,0,1,7377.0,223.0,36.0,13.382,0.0,0.0,133.0,1000.0000000000001,1.0,19.0,10193.0,0.402,0,1,2272.0,0,1,0.4412,0,20626.0,0,0,0,0,1,0,0.0333,4
27,49,180.0,1,0,1,0,0,0,0,1,6546.25,323.0,29.0,2.247,148.0,0.0,74.0,1222.0,0.0,16.0,11265.0,0.324,0,1,2317.0,0,1,0.5312,0,57115.99999999999,0,0,0,0,1,0,0.01,4
28,50,180.0,1,0,1,0,0,0,1,1,15138.5,497.0,97.0,7.119,0.0,0.0,0.0,0.0,0.0,55.0,10843.0,0.36,0,0,1478.0,0,0,0.3976,0,65514.0,0,0,0,0,1,0,0.0321,4
29,49,180.0,1,0,0,0,0,0,0,1,347.75,24.0,67.0,0.0,0.0,0.0,0.0,1000.0000000000001,0.0,1.0,890.0,0.294,0,1,110.0,0,1,0.5659,1,5575.0,0,0,0,0,1,0,0.0652,4
30,32,98.0,1,0,1,0,0,0,1,1,174.0,9.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1961.0,0.308,0,0,0.0,1,0,0.0139,0,606.0,1,0,1,0,0,0,0.0,4
31,49,78.0,1,0,1,1,0,0,1,1,24386.0,577.0,56.0,9.736,200.0,220.0,360.0,1180.0,0.0,150.0,33405.0,0.436,0,0,6401.0,1,0,0.2027,0,19534.0,0,0,1,0,0,0,0.0344,4
32,28,77.0,1,0,1,0,0,0,1,1,15377.25,179.0,44.0,0.882,273.0,0.0,409.0,1136.0,0.0,80.0,7149.0,0.574,0,1,4634.0,1,0,0.058499999999999996,0,7599.000000000001,0,0,1,0,0,0,0.0087,4
33,25,80.0,1,1,1,1,1,0,0,1,31532.5,398.0,104.0,1.632,271.0,200.0,414.0,1171.0,0.0,100.0,35412.0,0.56,0,1,7879.0,1,0,0.1995,1,120346.0,1,0,1,0,0,0,0.0144,4
34,28,180.0,1,0,0,0,0,0,0,1,644.0,31.0,53.0,14.286,0.0,0.0,0.0,1000.0000000000001,0.0,2.0,1031.0,0.326,0,0,1216.0,0,1,0.6152,0,18267.0,0,0,0,0,1,0,0.08199999999999999,3
35,23,72.0,1,1,0,0,0,0,0,1,10150.0,109.0,88.0,0.0,435.0,43.0,130.0,1043.0,0.0,25.0,8961.0,0.491,0,0,7891.0,1,0,0.1782,0,134280.0,1,0,1,0,0,0,0.045700000000000005,4
36,36,72.0,1,0,1,0,0,0,0,1,22621.0,398.0,53.0,10.204,444.0,37.0,74.0,1074.0,1.0,20.0,21556.0,0.315,0,0,8937.0,1,0,0.4879,0,84174.0,0,0,1,0,0,0,0.0223,4
37,49,78.0,1,0,1,0,0,1,0,1,20391.75,426.99999999999994,45.0,2.511,362.0,277.0,468.0,1149.0,0.0,130.0,30275.0,0.525,0,0,12005.0,1,0,0.1589,0,52267.0,1,0,1,0,0,0,0.0173,4
38,49,180.0,1,0,0,0,0,0,0,1,355.5,26.0,81.0,0.0,0.0,500.0,0.0,1000.0000000000001,0.0,1.0,731.0,0.278,0,1,94.0,0,1,0.5947,1,5575.0,0,0,0,0,1,0,0.0,4
39,36,180.0,1,2,1,0,0,0,0,1,14912.0,280.0,28.0,0.0,118.0,0.0,176.0,1118.0,0.0,40.0,10730.0,0.425,0,0,1794.0,0,0,0.4614,1,47736.0,1,0,0,0,1,0,0.0264,4
40,49,180.0,1,0,0,0,0,0,0,1,419.0,21.0,78.0,20.408,1000.0,0.0,1000.0,2000.0000000000002,0.0,1.0,897.0,0.25,0,1,122.0,0,1,0.5679,1,5575.0,0,0,0,0,1,0,0.0222,4
41,25,82.0,1,0,0,0,0,0,0,1,74848.0,1811.0,61.0,1.951,317.0,33.0,333.0,1083.0,0.0,300.0,65865.0,0.397,0,1,24962.0,1,0,0.197,1,95016.0,1,0,1,0,0,0,0.0108,4
