facility_id,reporting_neighborhood,city,latitude,longitude,height_restriction,ext_allowed,parking_type,accessible,ev_charging,heated,rooftop_exposed,has_monthly_rates,has_transient_rates,p4w_total_gross_revenue,p4w_new_drivers,p4w_repeat_drivers,num_words_parking_instruction,num_rentals_refunded,p4w_sipp,sipp,user_issues_per_park,tipp,product_cpp,total_cpp,p4w_lot_full,num_stalls,count_first_rentals,count_repeat,rental_count,p4w_return_pct,scan_to_pay_flag,iq_facility,p4w_total_gross_revenue_no_event,customer_reviews_count,covered_parking,inout_allowed,lot_fulls_per_park,utilization,utilization_weekday_day,utilization_weekend_night,has_event_rates,searches,on_site_staff,facility_type_under_el,facility_type_garage,facility_type_valet_stand,facility_type_lot,facility_type_personal_spot,refund_pct,average_star_rating
1,United Center,Chicago,41.8822179,-87.6677495,,TRUE,self,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,90.00,5,1,55,1,0.000,0,0,0,0,0,0,1,2,2,7,16.7%,FALSE,FALSE,0.00,4,FALSE,TRUE,0,0.0225,0.0098,0.0962,TRUE,1002,FALSE,0,0,0,1,0,14.29%,5.0
2,Lincoln Park,Chicago,41.92221407,-87.65480987,,TRUE,self,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,263.50,13,2,74,1,0.000,1000,0,0,0,1000,0,1,1,1,16,13.3%,FALSE,TRUE,263.50,14,FALSE,TRUE,500,0.2022,0.1425,0.5725,FALSE,1675,FALSE,0,0,0,1,0,6.25%,4.3
3,Wrigleyville,Chicago,41.94921257,-87.66141243,,TRUE,self,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00,,,56,0,0.000,0,0,0,0,1000,0,1,1,1,0,0.0%,FALSE,FALSE,,13,FALSE,TRUE,0,0.0421,0.0233,0.0875,TRUE,18988,FALSE,0,0,0,0,1,0.00%,4.2
4,South Loop,Chicago,41.8719273,-87.6332909,90,TRUE,self,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,5421.00,87,115,63,10,3.263,214,500,71,143,1214,1,40,6155,5659,663,56.9%,FALSE,FALSE,4851.00,4320,TRUE,FALSE,71,0.4069,0.8046,0.2395,TRUE,4056,TRUE,0,1,0,0,0,1.51%,4.8
5,Near North,Chicago,41.89835114,-87.63790279,74,TRUE,self,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,4338.00,91,69,35,17,34.591,417,167,0,167,1000,2,20,3309,3015,305,43.1%,FALSE,FALSE,4338.00,1775,FALSE,TRUE,83,0.2931,0.9863,0.2254,FALSE,20114,FALSE,0,0,0,1,0,5.57%,4.8
6,Loop SW,Chicago,41.8772283,-87.6327697,80,TRUE,valet,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,15555.75,266,246,42,15,0.000,200,600,0,100,1000,0,45,11526,10130,1242,48.0%,FALSE,TRUE,15555.75,22201,TRUE,FALSE,0,0.2313,0.7690,0.0000,FALSE,118113,TRUE,0,1,0,0,0,1.21%,4.9
7,West Loop,Chicago,41.880883,-87.6406058,84,TRUE,self,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,114523.00,603,1879,49,40,0.460,88,730,36,219,1197,0,500,79243,69125,7253,75.7%,FALSE,TRUE,114450.75,65932,TRUE,FALSE,7,0.2096,0.7155,0.0276,TRUE,74411,TRUE,0,1,0,0,0,0.55%,4.8
8,West Loop,Chicago,41.88114267,-87.64428591,,TRUE,self,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,20658.00,330,352,38,14,1.242,133,333,67,200,1667,0,80,9467,8137,1686,51.6%,FALSE,TRUE,20658.00,5227,FALSE,FALSE,0,0.1979,0.4258,0.1635,TRUE,44457,TRUE,0,0,0,1,0,0.83%,4.7
9,West Loop,Chicago,41.880164,-87.643545,,TRUE,self-valet-assist,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,5130.00,71,76,34,1,3.333,250,188,63,250,1063,0,40,6150,5263,349,51.7%,FALSE,TRUE,5130.00,3433,FALSE,FALSE,63,0.1777,0.4878,0.1036,TRUE,47578,FALSE,0,0,0,1,0,0.29%,4.7
10,River North,Chicago,41.8911433,-87.6402621,78,TRUE,self,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,7879.00,104,160,48,10,18.391,63,313,0,188,1063,0,90,10886,9273,477,60.6%,FALSE,FALSE,7879.00,12362,TRUE,FALSE,0,0.1093,0.3630,0.1002,FALSE,25980,FALSE,0,1,0,0,0,2.10%,4.8
11,Loop SW,Chicago,41.880279,-87.635948,86,TRUE,self,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,59217.00,570,859,58,30,1.356,358,340,0,170,1094,0,220,41161,34831,3071,60.1%,FALSE,FALSE,59204.00,19547,TRUE,FALSE,0,0.2302,0.7450,0.0795,FALSE,127161,TRUE,0,1,0,0,0,0.98%,4.9
12,West Loop,Chicago,41.8784038,-87.6436916,77,TRUE,self,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,33862.75,461,699,46,20,2.900,72,217,391,478,1130,0,120,21498,17928,2672,60.3%,FALSE,TRUE,33862.75,16988,TRUE,FALSE,0,0.2058,0.6050,0.0395,FALSE,34834,FALSE,0,1,0,0,0,0.75%,4.8
13,West Loop,Chicago,41.8804393,-87.6431513,,TRUE,self,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,4503.00,58,73,82,4,0.000,227,91,0,409,1318,0,35,4380,3642,312,55.7%,FALSE,TRUE,4503.00,5284,FALSE,FALSE,136,0.1843,0.4277,0.1363,TRUE,51166,TRUE,0,0,0,1,0,1.28%,4.6
14,Loop SW,Chicago,41.876296,-87.63303984,,TRUE,self,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,7231.50,206,95,54,5,1.264,23,318,273,409,1091,0,10,8437,7007,565,31.6%,FALSE,TRUE,7059.75,6322,TRUE,FALSE,0,0.2997,0.7805,0.1423,TRUE,96482,FALSE,0,1,0,0,0,0.88%,4.7
